:: start

Filling Terrain array...
 Terrain[5][36] = BUILDING
 Terrain[5][37] = BUILDING
 Terrain[5][38] = BUILDING
 Terrain[5][39] = PARK
 Terrain[5][40] = BUILDING
 Terrain[5][41] = BUILDING
 Terrain[5][42] = RIVER
 Terrain[5][43] = BUILDING
 Terrain[5][44] = RIVER
 Terrain[5][45] = BUILDING
 Terrain[5][46] = RIVER
 Terrain[5][47] = RIVER
 Terrain[5][48] = RIVER
 Terrain[6][0] = PARK
 Terrain[6][1] = PARK
 Terrain[6][2] = RIVER
 Terrain[6][3] = BUILDING
 Terrain[6][4] = BUILDING
 Terrain[6][5] = RIVER
 Terrain[6][6] = PARK
 Terrain[6][7] = RIVER
 Terrain[6][8] = BUILDING
 Terrain[6][9] = BUILDING
 Terrain[6][10] = BUILDING
 Terrain[6][11] = PARK
 Terrain[6][12] = BUILDING
 Terrain[6][13] = BUILDING
 Terrain[6][14] = PARK
 Terrain[6][15] = BUILDING
 Terrain[6][16] = BUILDING
 Terrain[6][17] = BUILDING
 Terrain[6][18] = BUILDING
 Terrain[6][19] = PARK
 Terrain[6][20] = BUILDING
 Terrain[6][21] = BUILDING
 Terrain[6][22] = BUILDING
 Terrain[6][23] = RIVER
 Terrain[6][24] = PARK
 Terrain[6][25] = PARK
 Terrain[6][26] = BUILDING
 Terrain[6][27] = BUILDING
 Terrain[6][28] = BUILDING
 Terrain[6][29] = BUILDING
 Terrain[6][30] = BUILDING
 Terrain[6][31] = BUILDING
 Terrain[6][32] = BUILDING
 Terrain[6][33] = BUILDING
 Terrain[6][34] = BUILDING
 Terrain[6][35] = BUILDING
 Terrain[6][36] = PARK
 Terrain[6][37] = BUILDING
 Terrain[6][38] = BUILDING
 Terrain[6][39] = PARK
 Terrain[6][40] = BUILDING
 Terrain[6][41] = RIVER
 Terrain[6][42] = BUILDING
 Terrain[6][43] = RIVER
 Terrain[6][44] = PARK
 Terrain[6][45] = BUILDING
 Terrain[6][46] = RIVER
 Terrain[6][47] = BUILDING
 Terrain[6][48] = BUILDING
 Terrain[7][0] = BUILDING
 Terrain[7][1] = BUILDING
 Terrain[7][2] = BUILDING
 Terrain[7][3] = BUILDING
 Terrain[7][4] = BUILDING
 Terrain[7][5] = BUILDING
 Terrain[7][6] = BUILDING
 Terrain[7][7] = BUILDING
 Terrain[7][8] = BUILDING
 Terrain[7][9] = PARK
 Terrain[7][10] = BUILDING
 Terrain[7][11] = RIVER
 Terrain[7][12] = BUILDING
 Terrain[7][13] = BUILDING
 Terrain[7][14] = BUILDING
 Terrain[7][15] = BUILDING
 Terrain[7][16] = BUILDING
 Terrain[7][17] = RIVER
 Terrain[7][18] = BUILDING
 Terrain[7][19] = PARK
 Terrain[7][20] = BUILDING
 Terrain[7][21] = BUILDING
 Terrain[7][22] = BUILDING
 Terrain[7][23] = BUILDING
 Terrain[7][24] = PARK
 Terrain[7][25] = BUILDING
 Terrain[7][26] = BUILDING
 Terrain[7][27] = BUILDING
 Terrain[7][28] = PARK
 Terrain[7][29] = BUILDING
 Terrain[7][30] = BUILDING
 Terrain[7][31] = BUILDING
 Terrain[7][32] = BUILDING
 Terrain[7][33] = BUILDING
 Terrain[7][34] = PARK
 Terrain[7][35] = RIVER
 Terrain[7][36] = PARK
 Terrain[7][37] = BUILDING
 Terrain[7][38] = RIVER
 Terrain[7][39] = BUILDING
 Terrain[7][40] = BUILDING
 Terrain[7][41] = PARK
 Terrain[7][42] = BUILDING
 Terrain[7][43] = RIVER
 Terrain[7][44] = BUILDING
 Terrain[7][45] = PARK
 Terrain[7][46] = BUILDING
 Terrain[7][47] = RIVER
 Terrain[7][48] = BUILDING
 Terrain[8][0] = PARK
 Terrain[8][1] = BUILDING
 Terrain[8][2] = RIVER
 Terrain[8][3] = BUILDING
 Terrain[8][4] = PARK
 Terrain[8][5] = BUILDING
 Terrain[8][6] = BUILDING
 Terrain[8][7] = BUILDING
 Terrain[8][8] = PARK
 Terrain[8][9] = RIVER
 Terrain[8][10] = BUILDING
 Terrain[8][11] = RIVER
 Terrain[8][12] = PARK
 Terrain[8][13] = RIVER
 Terrain[8][14] = PARK
 Terrain[8][15] = PARK
 Terrain[8][16] = BUILDING
 Terrain[8][17] = PARK
 Terrain[8][18] = PARK
 Terrain[8][19] = BUILDING
 Terrain[8][20] = BUILDING
 Terrain[8][21] = BUILDING
 Terrain[8][22] = BUILDING
 Terrain[8][23] = BUILDING
 Terrain[8][24] = PARK
 Terrain[8][25] = BUILDING
 Terrain[8][26] = RIVER
 Terrain[8][27] = BUILDING
 Terrain[8][28] = BUILDING
 Terrain[8][29] = BUILDING
 Terrain[8][30] = BUILDING
 Terrain[8][31] = RIVER
 Terrain[8][32] = PARK
 Terrain[8][33] = RIVER
 Terrain[8][34] = BUILDING
 Terrain[8][35] = BUILDING
 Terrain[8][36] = BUILDING
 Terrain[8][37] = BUILDING
 Terrain[8][38] = PARK
 Terrain[8][39] = RIVER
 Terrain[8][40] = BUILDING
 Terrain[8][41] = PARK
 Terrain[8][42] = PARK
 Terrain[8][43] = BUILDING
 Terrain[8][44] = BUILDING
 Terrain[8][45] = PARK
 Terrain[8][46] = BUILDING
 Terrain[8][47] = BUILDING
 Terrain[8][48] = RIVER
 Terrain[9][0] = BUILDING
 Terrain[9][1] = PARK
 Terrain[9][2] = BUILDING
 Terrain[9][3] = PARK
 Terrain[9][4] = BUILDING
 Terrain[9][5] = PARK
 Terrain[9][6] = BUILDING
 Terrain[9][7] = BUILDING
 Terrain[9][8] = BUILDING
 Terrain[9][9] = PARK
 Terrain[9][10] = BUILDING
 Terrain[9][11] = PARK
 Terrain[9][12] = BUILDING
 Terrain[9][13] = RIVER
 Terrain[9][14] = RIVER
 Terrain[9][15] = BUILDING
 Terrain[9][16] = BUILDING
 Terrain[9][17] = BUILDING
 Terrain[9][18] = PARK
 Terrain[9][19] = PARK
 Terrain[9][20] = RIVER
 Terrain[9][21] = BUILDING
 Terrain[9][22] = BUILDING
 Terrain[9][23] = PARK
 Terrain[9][24] = PARK
 Terrain[9][25] = BUILDING
 Terrain[9][26] = BUILDING
 Terrain[9][27] = BUILDING
 Terrain[9][28] = BUILDING
 Terrain[9][29] = RIVER
 Terrain[9][30] = BUILDING
 Terrain[9][31] = RIVER
 Terrain[9][32] = RIVER
 Terrain[9][33] = PARK
 Terrain[9][34] = BUILDING
 Terrain[9][35] = BUILDING
 Terrain[9][36] = RIVER
 Terrain[9][37] = BUILDING
 Terrain[9][38] = BUILDING
 Terrain[9][39] = PARK
 Terrain[9][40] = BUILDING
 Terrain[9][41] = BUILDING
 Terrain[9][42] = BUILDING
 Terrain[9][43] = BUILDING
 Terrain[9][44] = BUILDING
 Terrain[9][45] = BUILDING
 Terrain[9][46] = BUILDING
 Terrain[9][47] = RIVER
 Terrain[9][48] = RIVER
 Terrain[10][0] = RIVER
 Terrain[10][1] = BUILDING
 Terrain[10][2] = BUILDING
 Terrain[10][3] = RIVER
 Terrain[10][4] = PARK
 Terrain[10][5] = BUILDING
 Terrain[10][6] = PARK
 Terrain[10][7] = BUILDING
 Terrain[10][8] = BUILDING
 Terrain[10][9] = PARK
 Terrain[10][10] = RIVER
 Terrain[10][11] = BUILDING
 Terrain[10][12] = BUILDING
 Terrain[10][13] = BUILDING
 Terrain[10][14] = BUILDING
 Terrain[10][15] = PARK
 Terrain[10][16] = BUILDING
 Terrain[10][17] = BUILDING
 Terrain[10][18] = BUILDING
 Terrain[10][19] = BUILDING
 Terrain[10][20] = RIVER
 Terrain[10][21] = BUILDING
 Terrain[10][22] = BUILDING
 Terrain[10][23] = BUILDING
 Terrain[10][24] = RIVER
 Terrain[10][25] = BUILDING
 Terrain[10][26] = BUILDING
 Terrain[10][27] = BUILDING
 Terrain[10][28] = PARK
 Terrain[10][29] = PARK
 Terrain[10][30] = BUILDING
 Terrain[10][31] = BUILDING
 Terrain[10][32] = BUILDING
 Terrain[10][33] = RIVER
 Terrain[10][34] = RIVER
 Terrain[10][35] = RIVER
 Terrain[10][36] = BUILDING
 Terrain[10][37] = RIVER
 Terrain[10][38] = BUILDING
 Terrain[10][39] = BUILDING
 Terrain[10][40] = BUILDING
 Terrain[10][41] = RIVER
 Terrain[10][42] = PARK
 Terrain[10][43] = BUILDING
 Terrain[10][44] = RIVER
 Terrain[10][45] = PARK
 Terrain[10][46] = BUILDING
 Terrain[10][47] = BUILDING
 Terrain[10][48] = PARK
 Terrain[11][0] = BUILDING
 Terrain[11][1] = BUILDING
 Terrain[11][2] = BUILDING
 Terrain[11][3] = PARK
 Terrain[11][4] = BUILDING
 Terrain[11][5] = PARK
 Terrain[11][6] = PARK
 Terrain[11][7] = RIVER
 Terrain[11][8] = BUILDING
 Terrain[11][9] = PARK
 Terrain[11][10] = BUILDING
 Terrain[11][11] = BUILDING
 Terrain[11][12] = RIVER
 Terrain[11][13] = RIVER
 Terrain[11][14] = RIVER
 Terrain[11][15] = BUILDING
 Terrain[11][16] = BUILDING
 Terrain[11][17] = BUILDING
 Terrain[11][18] = BUILDING
 Terrain[11][19] = BUILDING
 Terrain[11][20] = BUILDING
 Terrain[11][21] = PARK
 Terrain[11][22] = RIVER
 Terrain[11][23] = BUILDING
 Terrain[11][24] = BUILDING
 Terrain[11][25] = BUILDING
 Terrain[11][26] = PARK
 Terrain[11][27] = BUILDING
 Terrain[11][28] = PARK
 Terrain[11][29] = BUILDING
 Terrain[11][30] = BUILDING
 Terrain[11][31] = BUILDING
 Terrain[11][32] = BUILDING
 Terrain[11][33] = BUILDING
 Terrain[11][34] = BUILDING
 Terrain[11][35] = BUILDING
 Terrain[11][36] = BUILDING
 Terrain[11][37] = BUILDING
 Terrain[11][38] = BUILDING
 Terrain[11][39] = BUILDING
 Terrain[11][40] = BUILDING
 Terrain[11][41] = BUILDING
 Terrain[11][42] = BUILDING
 Terrain[11][43] = RIVER
 Terrain[11][44] = BUILDING
 Terrain[11][45] = RIVER
 Terrain[11][46] = RIVER
 Terrain[11][47] = BUILDING
 Terrain[11][48] = PARK
 Terrain[12][0] = RIVER
 Terrain[12][1] = BUILDING
 Terrain[12][2] = BUILDING
 Terrain[12][3] = PARK
 Terrain[12][4] = BUILDING
 Terrain[12][5] = PARK
 Terrain[12][6] = BUILDING
 Terrain[12][7] = BUILDING
 Terrain[12][8] = BUILDING
 Terrain[12][9] = BUILDING
 Terrain[12][10] = BUILDING
 Terrain[12][11] = PARK
 Terrain[12][12] = BUILDING
 Terrain[12][13] = PARK
 Terrain[12][14] = BUILDING
 Terrain[12][15] = PARK
 Terrain[12][16] = BUILDING
 Terrain[12][17] = BUILDING
 Terrain[12][18] = BUILDING
 Terrain[12][19] = BUILDING
 Terrain[12][20] = BUILDING
 Terrain[12][21] = BUILDING
 Terrain[12][22] = BUILDING
 Terrain[12][23] = BUILDING
 Terrain[12][24] = BUILDING
 Terrain[12][25] = BUILDING
 Terrain[12][26] = BUILDING
 Terrain[12][27] = PARK
 Terrain[12][28] = BUILDING
 Terrain[12][29] = PARK
 Terrain[12][30] = RIVER
 Terrain[12][31] = BUILDING
 Terrain[12][32] = BUILDING
 Terrain[12][33] = PARK
 Terrain[12][34] = PARK
 Terrain[12][35] = RIVER
 Terrain[12][36] = BUILDING
 Terrain[12][37] = BUILDING
 Terrain[12][38] = BUILDING
 Terrain[12][39] = BUILDING
 Terrain[12][40] = BUILDING
 Terrain[12][41] = BUILDING
 Terrain[12][42] = RIVER
 Terrain[12][43] = BUILDING
 Terrain[12][44] = BUILDING
 Terrain[12][45] = RIVER
 Terrain[12][46] = BUILDING
 Terrain[12][47] = BUILDING
 Terrain[12][48] = BUILDING
 Terrain[13][0] = BUILDING
 Terrain[13][1] = RIVER
 Terrain[13][2] = BUILDING
 Terrain[13][3] = RIVER
 Terrain[13][4] = RIVER
 Terrain[13][5] = BUILDING
 Terrain[13][6] = PARK
 Terrain[13][7] = BUILDING
 Terrain[13][8] = RIVER
 Terrain[13][9] = RIVER
 Terrain[13][10] = BUILDING
 Terrain[13][11] = RIVER
 Terrain[13][12] = BUILDING
 Terrain[13][13] = BUILDING
 Terrain[13][14] = PARK
 Terrain[13][15] = BUILDING
 Terrain[13][16] = BUILDING
 Terrain[13][17] = BUILDING
 Terrain[13][18] = PARK
 Terrain[13][19] = BUILDING
 Terrain[13][20] = PARK
 Terrain[13][21] = BUILDING
 Terrain[13][22] = BUILDING
 Terrain[13][23] = BUILDING
 Terrain[13][24] = BUILDING
 Terrain[13][25] = RIVER
 Terrain[13][26] = BUILDING
 Terrain[13][27] = BUILDING
 Terrain[13][28] = PARK
 Terrain[13][29] = PARK
 Terrain[13][30] = BUILDING
 Terrain[13][31] = RIVER
 Terrain[13][32] = BUILDING
 Terrain[13][33] = PARK
 Terrain[13][34] = RIVER
 Terrain[13][35] = BUILDING
 Terrain[13][36] = BUILDING
 Terrain[13][37] = PARK
 Terrain[13][38] = BUILDING
 Terrain[13][39] = BUILDING
 Terrain[13][40] = BUILDING
 Terrain[13][41] = BUILDING
 Terrain[13][42] = BUILDING
 Terrain[13][43] = PARK
 Terrain[13][44] = BUILDING
 Terrain[13][45] = PARK
 Terrain[13][46] = BUILDING
 Terrain[13][47] = BUILDING
 Terrain[13][48] = BUILDING
 Terrain[14][0] = BUILDING
 Terrain[14][1] = BUILDING
 Terrain[14][2] = BUILDING
 Terrain[14][3] = RIVER
 Terrain[14][4] = BUILDING
 Terrain[14][5] = BUILDING
 Terrain[14][6] = PARK
 Terrain[14][7] = BUILDING
 Terrain[14][8] = RIVER
 Terrain[14][9] = BUILDING
 Terrain[14][10] = PARK
 Terrain[14][11] = PARK
 Terrain[14][12] = BUILDING
 Terrain[14][13] = BUILDING
 Terrain[14][14] = BUILDING
 Terrain[14][15] = BUILDING
 Terrain[14][16] = BUILDING
 Terrain[14][17] = BUILDING
 Terrain[14][18] = RIVER
 Terrain[14][19] = BUILDING
 Terrain[14][20] = PARK
 Terrain[14][21] = PARK
 Terrain[14][22] = BUILDING
 Terrain[14][23] = BUILDING
 Terrain[14][24] = BUILDING
 Terrain[14][25] = BUILDING
 Terrain[14][26] = PARK
 Terrain[14][27] = BUILDING
 Terrain[14][28] = BUILDING
 Terrain[14][29] = PARK
 Terrain[14][30] = PARK
 Terrain[14][31] = BUILDING
 Terrain[14][32] = BUILDING
 Terrain[14][33] = RIVER
 Terrain[14][34] = RIVER
 Terrain[14][35] = BUILDING
 Terrain[14][36] = BUILDING
 Terrain[14][37] = BUILDING
 Terrain[14][38] = RIVER
 Terrain[14][39] = BUILDING
 Terrain[14][40] = BUILDING
 Terrain[14][41] = PARK
 Terrain[14][42] = RIVER
 Terrain[14][43] = RIVER
 Terrain[14][44] = PARK
 Terrain[14][45] = BUILDING
 Terrain[14][46] = BUILDING
 Terrain[14][47] = BUILDING
 Terrain[14][48] = PARK
 Terrain[15][0] = BUILDING
 Terrain[15][1] = BUILDING
 Terrain[15][2] = BUILDING
 Terrain[15][3] = RIVER
 Terrain[15][4] = RIVER
 Terrain[15][5] = PARK
 Terrain[15][6] = BUILDING
 Terrain[15][7] = BUILDING
 Terrain[15][8] = BUILDING
 Terrain[15][9] = PARK
 Terrain[15][10] = BUILDING
 Terrain[15][11] = BUILDING
 Terrain[15][12] = BUILDING
 Terrain[15][13] = RIVER
 Terrain[15][14] = BUILDING
 Terrain[15][15] = BUILDING
 Terrain[15][16] = BUILDING
 Terrain[15][17] = BUILDING
 Terrain[15][18] = RIVER
 Terrain[15][19] = RIVER
 Terrain[15][20] = BUILDING
 Terrain[15][21] = PARK
 Terrain[15][22] = BUILDING
 Terrain[15][23] = RIVER
 Terrain[15][24] = BUILDING
 Terrain[15][25] = PARK
 Terrain[15][26] = PARK
 Terrain[15][27] = BUILDING
 Terrain[15][28] = BUILDING
 Terrain[15][29] = BUILDING
 Terrain[15][30] = RIVER
 Terrain[15][31] = BUILDING
 Terrain[15][32] = BUILDING
 Terrain[15][33] = BUILDING
 Terrain[15][34] = BUILDING
 Terrain[15][35] = PARK
 Terrain[15][36] = BUILDING
 Terrain[15][37] = BUILDING
 Terrain[15][38] = BUILDING
 Terrain[15][39] = PARK
 Terrain[15][40] = BUILDING
 Terrain[15][41] = RIVER
 Terrain[15][42] = BUILDING
 Terrain[15][43] = BUILDING
 Terrain[15][44] = RIVER
 Terrain[15][45] = BUILDING
 Terrain[15][46] = BUILDING
 Terrain[15][47] = PARK
 Terrain[15][48] = PARK
 Terrain[16][0] = BUILDING
 Terrain[16][1] = BUILDING
 Terrain[16][2] = BUILDING
 Terrain[16][3] = BUILDING
 Terrain[16][4] = BUILDING
 Terrain[16][5] = BUILDING
 Terrain[16][6] = RIVER
 Terrain[16][7] = PARK
 Terrain[16][8] = BUILDING
 Terrain[16][9] = BUILDING
 Terrain[16][10] = BUILDING
 Terrain[16][11] = PARK
 Terrain[16][12] = BUILDING
 Terrain[16][13] = RIVER
 Terrain[16][14] = BUILDING
 Terrain[16][15] = PARK
 Terrain[16][16] = BUILDING
 Terrain[16][17] = BUILDING
 Terrain[16][18] = PARK
 Terrain[16][19] = PARK
 Terrain[16][20] = BUILDING
 Terrain[16][21] = BUILDING
 Terrain[16][22] = RIVER
 Terrain[16][23] = BUILDING
 Terrain[16][24] = BUILDING
 Terrain[16][25] = BUILDING
 Terrain[16][26] = BUILDING
 Terrain[16][27] = RIVER
 Terrain[16][28] = BUILDING
 Terrain[16][29] = BUILDING
 Terrain[16][30] = BUILDING
 Terrain[16][31] = PARK
 Terrain[16][32] = BUILDING
 Terrain[16][33] = RIVER
 Terrain[16][34] = PARK
 Terrain[16][35] = PARK
 Terrain[16][36] = BUILDING
 Terrain[16][37] = RIVER
 Terrain[16][38] = BUILDING
 Terrain[16][39] = RIVER
 Terrain[16][40] = BUILDING
 Terrain[16][41] = RIVER
 Terrain[16][42] = BUILDING
 Terrain[16][43] = BUILDING
 Terrain[16][44] = BUILDING
 Terrain[16][45] = RIVER
 Terrain[16][46] = BUILDING
 Terrain[16][47] = PARK
 Terrain[16][48] = PARK
 Terrain[17][0] = BUILDING
 Terrain[17][1] = BUILDING
 Terrain[17][2] = PARK
 Terrain[17][3] = BUILDING
 Terrain[17][4] = BUILDING
 Terrain[17][5] = BUILDING
 Terrain[17][6] = RIVER
 Terrain[17][7] = RIVER
 Terrain[17][8] = BUILDING
 Terrain[17][9] = RIVER
 Terrain[17][10] = BUILDING
 Terrain[17][11] = RIVER
 Terrain[17][12] = RIVER
 Terrain[17][13] = BUILDING
 Terrain[17][14] = BUILDING
 Terrain[17][15] = BUILDING
 Terrain[17][16] = BUILDING
 Terrain[17][17] = BUILDING
